channelTitle,mean,std,min,max,count
AWS Developers,2982.453095684803,4015.4489788258784,149,31471,1066
Google Cloud Tech,8587.433653504091,11647.33712133067,285,71194,2811
IBM Technology,36606.62075471698,64190.87414086529,520,371519,1060
Microsoft Azure,7808.272821576764,11307.898163572389,266,72540,964
