channelTitle,month,total_engagement,total_likes,num_videos,avg_top_similarity
Google Cloud Tech,2022-02-01,4344,89,4,0.12832186520813396
Google Cloud Tech,2022-03-01,320215,4434,12,0.11538751728791984
Google Cloud Tech,2022-04-01,163021,2447,18,0.10329100137074815
Google Cloud Tech,2022-05-01,503425,8156,26,0.12739121877739287
Google Cloud Tech,2022-06-01,227318,3541,12,0.11550184776502688
Google Cloud Tech,2022-07-01,259163,3672,12,0.08343828451073142
Google Cloud Tech,2022-08-01,358510,5100,24,0.10968570046449651
Google Cloud Tech,2022-09-01,287476,3127,19,0.15087977400015987
Google Cloud Tech,2022-10-01,361713,4811,72,0.1322881406251937
Google Cloud Tech,2022-11-01,192189,3750,30,0.12619566581326694
Google Cloud Tech,2022-12-01,242560,3023,20,0.06286920576192744
Google Cloud Tech,2023-01-01,48538,936,3,0.05875880205838282
Google Cloud Tech,2023-02-01,147427,1709,11,0.113784032410296
Google Cloud Tech,2023-03-01,112427,960,5,0.1034643675668128
Google Cloud Tech,2023-04-01,172458,2493,15,0.14265495780479373
Google Cloud Tech,2023-05-01,430294,6193,25,0.1526658210039905
Google Cloud Tech,2023-06-01,422625,6947,22,0.11594032173990317
Google Cloud Tech,2023-07-01,47525,1010,7,0.1160820015801189
Google Cloud Tech,2023-08-01,80057,968,5,0.11789587571993283
Google Cloud Tech,2023-09-01,216316,2582,13,0.12243837359425902
Google Cloud Tech,2023-10-01,123721,2194,18,0.133779851369263
Google Cloud Tech,2023-11-01,72626,1396,11,0.1357734841793808
Google Cloud Tech,2023-12-01,151623,1981,97,0.18664272561875414
Google Cloud Tech,2024-02-01,11056,66,1,0.10649250769932629
Google Cloud Tech,2024-03-01,16124,151,2,0.0400126735713678
Google Cloud Tech,2024-04-01,131934,2034,19,0.16177102061124252
Google Cloud Tech,2024-05-01,198681,2956,21,0.1451400299504865
Google Cloud Tech,2024-06-01,21569,273,4,0.14054377189283015
Google Cloud Tech,2024-07-01,245962,3591,103,0.09117617022606211
Google Cloud Tech,2024-08-01,23056,586,10,0.24046106373263862
Google Cloud Tech,2024-09-01,79410,1169,17,0.0630276522867737
Google Cloud Tech,2024-10-01,167805,3939,20,0.12652959984367448
Google Cloud Tech,2024-11-01,46039,962,6,0.13775554306284787
Google Cloud Tech,2024-12-01,126744,2107,10,0.15460178543189537
Google Cloud Tech,2025-01-01,56283,1410,9,0.17717863017420268
Google Cloud Tech,2025-02-01,84444,1940,11,0.21502140771733988
Google Cloud Tech,2025-03-01,91506,2286,20,0.1413750898859419
Google Cloud Tech,2025-04-01,70087,2248,5,0.2613061258991897
Google Cloud Tech,2025-05-01,109354,2666,27,0.21485323820355498
Google Cloud Tech,2025-06-01,25623,756,11,0.2877234061990865
Google Cloud Tech,2025-07-01,4323,169,4,0.3017157157865102
IBM Technology,2019-12-01,200958,4811,1,0.1164361160294568
IBM Technology,2020-01-01,519673,11000,6,0.1413288212041294
IBM Technology,2020-02-01,122396,2110,6,0.1330885069686517
IBM Technology,2020-03-01,108398,1376,3,0.20598070842284696
IBM Technology,2020-04-01,41274,897,1,0.21982000610623695
IBM Technology,2020-05-01,1091,23,2,0.0962120795808031
IBM Technology,2020-06-01,6877,98,2,0.13528138368127676
IBM Technology,2020-07-01,1947,37,1,0.1313081755645249
IBM Technology,2020-08-01,75552,1950,4,0.056381742323081935
IBM Technology,2020-09-01,7048,115,3,0.18113195761526277
IBM Technology,2020-10-01,207701,4134,4,0.13399591320188095
IBM Technology,2020-11-01,842267,22268,5,0.09476838658257859
IBM Technology,2020-12-01,530200,13002,6,0.096417735378864
IBM Technology,2021-01-01,14512,255,7,0.2169470249466726
IBM Technology,2021-02-01,340109,6381,6,0.12388868904273083
IBM Technology,2021-03-01,82539,1380,5,0.11330559435987864
IBM Technology,2021-04-01,140029,3102,8,0.17437545563607337
IBM Technology,2021-05-01,1183272,28135,11,0.1474760059623549
IBM Technology,2021-06-01,602358,10680,9,0.15035358521767825
IBM Technology,2021-07-01,311415,5419,3,0.12412579252716373
IBM Technology,2021-08-01,353150,8715,7,0.149393639813656
IBM Technology,2021-09-01,1173664,23812,11,0.12743864651702666
IBM Technology,2021-10-01,831305,16742,10,0.10815383935419641
IBM Technology,2021-11-01,818901,12622,9,0.1198368912286107
IBM Technology,2021-12-01,196727,3784,4,0.10158021715517766
IBM Technology,2022-01-01,192948,3440,4,0.09315118208529416
IBM Technology,2022-02-01,595349,11886,8,0.12832186520813396
IBM Technology,2022-03-01,519532,10935,5,0.11538751728791984
IBM Technology,2022-04-01,245291,5335,5,0.10329100137074815
IBM Technology,2022-05-01,713605,15118,8,0.12739121877739287
IBM Technology,2022-06-01,709609,15298,8,0.11550184776502688
IBM Technology,2022-07-01,924416,20685,7,0.08343828451073142
IBM Technology,2022-08-01,636316,11541,10,0.10968570046449651
IBM Technology,2022-09-01,659354,17004,7,0.15087977400015987
IBM Technology,2022-10-01,441838,10068,5,0.1322881406251937
IBM Technology,2022-11-01,721721,25103,10,0.12619566581326694
IBM Technology,2022-12-01,567004,13266,9,0.06286920576192744
